name,desc,date
VxX615110299,榴芒蛋糕只见芒果，只有一丝丝的榴莲,2018年4月6日
oth963058722,没有面包都是面皮，水果还是新鲜，妹妹很喜欢吃,2018年3月31日
匿名用户,味道不错，草莓也不酸，但是草莓感觉没洗，吃了几口都有咬沙子的感觉-.-#,2018年3月23日
邵施佳,绝对的好评 下次还是回去买的 好吃,2018年3月29日
Elopek,喜欢这样淡淡的味道 奶油也不怎么甜 太甜会腻 正好合口味,2018年3月1日
匿名用户,蛋糕好的，奶油也不怎么甜，现在都不要吃太甜。这蛋糕原来也买过。,2018年2月24日
Hi.洛溪,好吃,2018年3月25日
刘树明,一直都买！,2018年3月26日
Ryoko149,好吃,2018年3月23日
yyp9215,草莓量多，不是很甜，味道不错。下单后要电话预定才能拿，感觉好小，团购价格还行原价就觉得贵了。,2018年1月5日
匿名用户,好吃 经常购买千层 下次团购一个火龙果的,2018年3月15日
xiaoqi41,分量超级足的，就是榴莲的要加三元，可是里面榴莲真的好少。,2018年2月16日
借我一世温柔,老顾客了，确实挺不错的，现在淡奶油的蛋糕很多,2018年1月9日
悯mmm,不错,2018年1月15日
悯mmm,不错,2018年1月15日
葉月842,提前预定的，因为想吃草莓就干脆买一个草莓蛋糕。当作晚餐吃的很开心啦～,2018年1月4日
匿名用户,很好吃，经常购买,2018年1月7日
VIE917364676,蛋糕非常好吃😋一直都是认定你家哦,2018年1月4日
呵呵呵哒…,昨天在美团上搜索美食，就搜到这家，看了很多评论，好评最高就数雪媚娘和千层蛋糕了，然后今天正好闲着就跑过去买了，第一次吃雪媚娘，买的榴莲和奥利奥口味，奶油感觉没啥味道，可能是刚从冰箱里取出来的缘故吧，第二个吃到一半还是有点腻的，嗯，还是不错的啦,2017年9月30日
mrwingo,不错，不过感觉好像做的有点匆忙，有点散。,2017年12月29日
匿名用户,要等着现做的，味道还好吧，再有几款好吃的就好了，就奶油好的，夏天吃的雪媚娘好吃,2017年12月23日
蜕变蜕变3,带着宝宝走了一大圈，找错了，找的是另外一家分店。店家很好的帮我解决了，谢谢,2017年11月3日
mrwingo,经常买的，还不错的。,2017年12月29日
y我只吃饭不刷碗y,一如既往的好吃,2017年12月30日
ycy252561691,好吃的，家人们收很喜欢吃啦✌✌✌✌,2017年12月28日
ycy252561691,很喜欢吃,2017年12月28日
l半夏晟忆xm,可以,2017年12月29日
残爱zoe,好吃，吃过雪媚娘和千层，都推荐！！,2017年12月24日
匿名用户,夏天吃雪媚娘好吃的，冰凉爽口，鲜奶,2017年12月23日
点点NoNoA,没有以前好吃了。感觉奶油希希的，没那么香了。,2017年12月14日
盼盼20020505,味道不错，但感觉价格不是太实惠。,2017年12月16日
盼盼20020505,好久没去了，感觉价格有点小贵。,2017年12月16日
你好我叫卫佳佳,我真的超级无敌喜欢你们家店的,2017年12月17日
gaolin1123,不错，来临平都会来买！不错不错！,2017年12月14日
uxO693035662,挺好吃的，我很喜欢，蛋糕一点都不觉得腻,2017年12月9日
匿名用户,第四届世界互联网大会昨日开幕 人工智能等四大领域迎机遇,2017年12月4日
HUANG小A小,天天想着吃他家的蛋糕，哈哈哈,2017年12月10日
yueyuebin,很不错，家里人过生日买的，颜值高,2017年12月7日
hPT438147161,挺好，三四个人下午茶刚好，不甜不腻,2017年12月3日
猫柒i丶,很好吃 超级棒 个头好大  真实在,2017年11月11日
asE396670066,口味一如既往，多次点单，能送外卖后就懒得出去了，非常方便,2017年11月28日
_qqhw61373684365,好吃,2017年11月24日
陈小武5,味道好，确实好几次点了，就是喜欢那个,2017年10月24日
匿名用户,唯一一家奶油！永远！吃不腻的甜品店！！！，真的 超超超超 超级好吃，吃一次就上瘾的好吃！份量很足，超级棒！,2017年10月15日
樊828,奶油淡淡的好吃😋,2017年10月25日
xUN598098533,一直都很喜欢的味道,2017年10月22日
xUN598098533,吃过N次了，好吃，好吃😋,2017年10月22日
xUN598098533,吃过这个，其他家都没买过了,2017年10月22日
xUN598098533,一如既往的好吃😋,2017年10月22日
吃吃荡荡5913,价格小贵，其他还不错,2017年10月16日
吃吃荡荡5913,价格小贵，其他还不错,2017年10月16日
