names,direction,money,experience,condition,company,welfare
蓝牙电子工程师,深圳·宝安区,6k-12k,经验1-3年 / 大专,"广告营销,企业服务 / 未融资 / 50-150人",沃菲数字营销,"五险一金,节假福利,创业公司,员工旅游"
自动化测试工程师（研发共享服务部）,深圳·科技园,10k-20k,经验5-10年 / 本科,企业服务 / 上市公司 / 2000人以上,金蝶,大平台发展机遇广福利待遇好团队氛围好
Android开发工程师（自动化方向）,杭州·西湖区,15k-30k,经验3-5年 / 本科,"移动互联网,硬件 / C轮 / 500-2000人",涂鸦智能,"团队牛,独角兽"
高级Java开发工程师（自动化方向）,杭州·西湖区,15k-30k,经验3-5年 / 本科,"移动互联网,硬件 / C轮 / 500-2000人",涂鸦智能,"团队牛,独角兽"
自动化测试工程师,北京·东城区,10k-20k,经验1-3年 / 本科,社交 / B轮 / 150-500人,玩吧,七险一金、弹性不打卡、免费午餐、季度旅游
软件开发岗-自动化测试工程师（中级）,广州·林和,13k-23k,经验3-5年 / 本科,金融 / 不需要融资 / 500-2000人,中邮消费金融,股权激励 合伙人
自动化测试,上海·静安区,13k-23k,经验3-5年 / 本科,"企业服务,移动互联网 / 不需要融资 / 2000人以上",微创软件,500强外企
自动化测试,杭州·钱江新城,9k-18k,经验3-5年 / 大专,"移动互联网,金融 / A轮 / 15-50人",wintech,双地铁口、福利好、氛围好
自动化工具研发岗,北京·北京大学,15k-30k,经验3-5年 / 本科,文娱丨内容 / 上市公司 / 2000人以上,微博,大平台，免费早餐，免费班车
自动化测试,上海·长宁区,10k-18k,经验不限 / 本科,"移动互联网,企业服务 / 不需要融资 / 500-2000人",瞬联软件科技（北京）有限公司,六险一金 带薪假期 弹性工作 外企氛围
自动化测试,上海·徐汇区,10k-20k,经验3-5年 / 本科,数据服务 / B轮 / 150-500人,爱可生,新三板 年终奖 公司内健身区咖吧 各种团建
自动化高级测试师,杭州·西溪,13k-16k,经验5-10年 / 本科,"数据服务,软件开发 / B轮 / 50-150人",沃点网络,发展前景良好、上班氛围轻松愉悦、五险一金
自动化测试,西安·高新技术产业开发区,7k-14k,经验1-3年 / 本科,移动互联网 / 不需要融资 / 2000人以上,武汉佰钧成技术有限责任公司,六险一金，项目奖金，弹性工作，年度体检
高级自动化测试,深圳·科技园,15k-22k,经验5-10年 / 本科,移动互联网 / 上市公司 / 2000人以上,印孚瑟斯,外企平台 高端项目
自动化测试,上海·徐汇区,10k-12k,经验1-3年 / 大专,移动互联网 / 不需要融资 / 150-500人,舟恩信息,互联网金融
自动化测试,上海·张江,12k-16k,经验1-3年 / 大专,移动互联网 / 不需要融资 / 150-500人,舟恩信息,自动化 不加班
fpga单片机工程师,上海·新桥,20k-30k,经验3-5年 / 大专,"企业服务,其他 / 不需要融资 / 15-50人",上海实干,五险一金全 勤奖 工作餐 年终分红
单片机培训老师,南昌·青山湖区,5k-10k,经验1年以下 / 大专,教育 / 未融资 / 15-50人,南昌赢诺科技有限公司,智能电子，拓展思维，智能硬件
高级嵌入式软件工程师 -单片机方向,深圳·南山区,20k-40k,经验5-10年 / 本科,移动互联网 / 未融资 / 50-150人,大农科技,五险一金，骨干员工有期权
单片机软件工程师,深圳·龙华新区,12k-16k,经验3-5年 / 大专,"移动互联网,文娱丨内容 / A轮 / 15-50人",酷浪运动,"五险一金,全勤奖 节日福利,员工旅游"
软件工程师/单片机工程师,深圳·罗湖区,6k-12k,经验1-3年 / 大专,"移动互联网,不限 / 不需要融资 / 15-50人",禾芯科技,"稳定的公司,资源丰富,薪酬高,氛围"
嵌入式软件设计工程师,成都·高新区,10k-15k,经验不限 / 本科,"企业服务,物联网 / 不需要融资 / 500-2000人",中国兵器装备集团自动化研究所,国企背景，福利丰厚
嵌入式软件/硬件设计工程师,成都·高新区,10k-15k,经验不限 / 本科,"企业服务,物联网 / 不需要融资 / 500-2000人",中国兵器装备集团自动化研究所,国企背景，待遇丰厚
嵌入式软件开发工程师,北京·酒仙桥,25k-35k,经验3-5年 / 本科,信息安全 / 上市公司 / 2000人以上,360,平台大，发展好，IOT核心业务，成长快
嵌入式软件测试工程师,广州·番禺区,12k-20k,经验3-5年 / 本科,硬件 / 上市公司 / 2000人以上,美的IoT,"500强,上市公司,六险一金,扁平化管理"
技术支持,杭州·西湖区,8k-16k,经验1-3年 / 本科,"移动互联网,硬件 / C轮 / 500-2000人",涂鸦智能,独角兽平台 不打卡
逆向工程师,深圳·布吉,10k-20k,经验3-5年 / 本科,"企业服务,硬件 / 不需要融资 / 50-150人",长广科技,五险一金，项目奖，年底双薪，每年2次旅游
蓝牙研发工程师-ble/mesh方向,深圳·南油,15k-30k,经验3-5年 / 本科,"移动互联网,硬件 / C轮 / 500-2000人",涂鸦智能,物联网 独角兽企业 大牛云集 前景广阔
高级嵌入式开发工程师（MCU）,深圳·南山区,15k-25k,经验3-5年 / 本科,移动互联网 / 不需要融资 / 500-2000人,Anker,"专业团队,人工智能,国际化平台,福利多"
