电子工程师（fae）,南京·江宁区,5k-8k,经验不限 / 大专,企业服务 / 未融资 / 少于15人,斗石网,FAE 朝九晚六 周末双休 氛围轻松
模拟集成电路设计工程师,珠海·香洲区,10k-20k,经验1-3年 / 本科,其他 / 未融资 / 50-150人,一微半导体,弹性工作时间
电子玩具测试工程师,深圳·坂田,6k-9k,经验应届毕业生 / 本科,"企业服务,信息安全 / 上市公司 / 2000人以上",Intertek,英资企业、电子电路
电子工程师,深圳·龙岗区,8k-12k,经验3-5年 / 不限,"硬件,电商 / 不需要融资 / 500-2000人",电将军,免费体检 公司旅游 免费住宿
电子工程师,深圳·福永,8k-11k,经验3-5年 / 大专,电商 / 不需要融资 / 150-500人,绘王动漫,年终13薪，工龄奖、入职购买五险一金
电子工程师（IPC）,深圳·新安,10k-15k,经验3-5年 / 不限,硬件 / 上市公司 / 500-2000人,奥尼电子,五险一金 年终奖金 发展空间大
电子工程师/电子技术员,广州·南沙区,4k-7k,经验1-3年 / 不限,"数据服务,其他 / 未融资 / 50-150人",广州博控自动化技术有限公司,"功能测试,电子仪表,五险一金,工作双休"
高级电子工程师,深圳·南油,8k-10k,经验3-5年 / 大专,"其他,人工智能 / 不需要融资 / 50-150人",福迈,"年底双薪,五险一金，包住宿"
电路设计,北京·后沙峪,8k-15k,经验3-5年 / 本科,其他 / D轮及以上 / 150-500人,莱伯泰科,年轻团队，氛围轻松
电子开发助理工程师,深圳·南山区,4k-6k,经验1-3年 / 大专,"不限,硬件 / 上市公司 / 2000人以上",茂硕电源,"五险一金,提供食宿,绩效奖金,年终奖金"
电子硬件工程师,北京·安贞,10k-15k,经验1-3年 / 不限,文娱丨内容 / D轮及以上 / 150-500人,北京中嘉空间展示设计有限公司,项目研发有意思，下午茶等福利。
FAE现场技术支持工程师（汽车电子）,宁波·慈溪市,10k-20k,经验不限 / 本科,"移动互联网,通讯电子 / 上市公司 / 2000人以上",GARMIN佳明,"六险一金,周末双休,福利完善,氛围佳"
FAE现场技术支持工程师（汽车电子）,沈阳·津桥,10k-20k,经验不限 / 本科,"移动互联网,通讯电子 / 上市公司 / 2000人以上",GARMIN佳明,"六险一金,周末双休,福利完善,氛围佳"
C++/Android高级工程师（汽车电子）,成都·高新区,12k-24k,经验5-10年 / 本科,"移动互联网,通讯电子 / 上市公司 / 2000人以上",GARMIN佳明,六险一金 周末双休 福利完善
